Intra_Fair2,Intra_Fair3,Intra_Fair4,Inter_Fair1,Inter_Fair2,Inter_Fair3,Customer_Care,lam1,lam2,lam3
1.4729410653891145e-5,1.4721918024740346e-5,0.0030742967180489586,6.83740485521553e-10,6.837400309494634e-10,0.0017164509977547482,6.891570813229586,0.5,0.5,0.0
8.360626667235093e-6,8.349806637571829e-6,0.0022035458784968806,3.850088679536708e-9,3.850088776572802e-9,0.004086197626872234,6.665709765247423,0.5,0.5,0.0
1.5112615255704916e-5,1.5103419907202577e-5,0.003116239771590069,2.8646119955560035e-10,2.864609543853019e-10,0.0011084135407486428,7.066415287347068,0.5,0.5,0.0
1.3696029309355853e-5,1.3705854314856542e-5,0.0029446749374388128,9.361058515038647e-11,9.361120845059214e-11,0.0006364811655927838,6.771660392234867,0.5,0.5,0.0
1.0562336829682837e-5,1.0577564449213393e-5,0.0024863182611237085,1.4657798728237906e-9,1.4657794500696467e-9,0.00250820581377198,7.121097964081999,0.5,0.5,0.0
1.0648811856036544e-5,1.0642078000173138e-5,0.0025859415270675177,6.854128156383806e-13,6.860456866810753e-13,5.187870387857174e-5,7.191254835668683,0.6,0.4,0.0
9.964355970339903e-6,9.965254803445504e-6,0.002549495382869447,7.893606110618537e-10,7.893608741502871e-10,0.0017525591425595621,7.49288212450467,0.6,0.4,0.0
1.1780031018365062e-5,1.178895528537511e-5,0.002742705622960444,1.705372733926526e-8,1.705372746726888e-8,0.008177528484342389,7.230696594251591,0.6,0.4,0.0
1.375297991660831e-5,1.375578325918019e-5,0.0029702170584097304,1.0476013150020826e-9,1.0476013600913404e-9,0.0020287348138765537,7.139763184031997,0.6,0.4,0.0
1.1031232203969179e-5,1.1028341956182786e-5,0.002650210701252569,1.8199252539081762e-8,1.8199252342664986e-8,0.008451556851486686,7.16881374242475,0.6,0.4,0.0
1.1341897808051113e-5,1.1340509875731886e-5,0.002725557179571318,1.9433817495721306e-9,1.9433813739096304e-9,0.0026467240509120415,7.534617019805767,0.7,0.30000000000000004,0.0
1.0804806475232321e-5,1.080568546867125e-5,0.0026481371694788017,7.683836602444738e-9,7.683837095810936e-9,0.0052575785598740765,7.5640340774099375,0.7,0.30000000000000004,0.0
1.1351405152655356e-5,1.1354573392060368e-5,0.0027173103071691015,3.160175157124065e-12,3.1595473659497134e-12,0.00010662863120103339,7.5423284776882245,0.7,0.30000000000000004,0.0
5.7059687160002385e-6,5.705329217149338e-6,0.0019315869623051452,1.1310543691006114e-9,1.1310544610714489e-9,0.0020138253753465563,7.667708523130416,0.7,0.30000000000000004,0.0
1.0561395239257329e-5,1.0558852582964307e-5,0.0026125364704765912,8.554929631317048e-9,8.554929591689459e-9,0.005560988505237674,7.327986126316321,0.7,0.30000000000000004,0.0
