Intra_Fair2,Intra_Fair3,Intra_Fair4,Inter_Fair1,Inter_Fair2,Inter_Fair3,Customer_Care,Trial
4.29374736984686e-5,4.3130920374669194e-5,0.004641284936396794,1.2348372771127359e-8,1.2348373025901317e-8,0.008194728034652599,7.938802774524835,1
7.203560651692812e-5,7.194041808928581e-5,0.006667341171077302,1.3197057652816714e-8,1.319705744257636e-8,0.01015290066409591,8.214254592914278,2
2.8752142869956864e-5,2.8769045418216085e-5,0.0042954359306561765,8.84167037918911e-9,8.841670703609505e-9,0.00440904199040304,6.136340403376416,3
1.058751699117744e-5,1.0595220007453407e-5,0.002602444966539669,5.397494773096709e-9,5.397494773632034e-9,0.005397063499785304,7.438139281022846,4
0.00011444625093993463,0.00011443610308301822,0.008498576529805098,1.053890482843108e-8,1.0538905316864158e-8,0.0023329480393154967,4.811226223075991,5
2.5943946884167143e-5,2.591664940119118e-5,0.004016855743781905,4.532901626237229e-9,4.532901371686888e-9,0.004670978786027291,7.080122977179114,6
4.647467991214776e-5,4.639126830918578e-5,0.005252345144385793,1.8951509540414977e-9,1.895151164092116e-9,0.0026920840978732485,6.9113078994076425,7
7.727607229241246e-5,7.704309216969228e-5,0.006859112320852381,1.5170504889306692e-8,1.5170504756762977e-8,0.007050262063742707,6.170904794556551,8
8.900081170746697e-6,8.900926445132816e-6,0.0024000496736183313,7.998544371627637e-10,7.998542599702474e-10,0.0015405787710633945,6.279663197574537,9
6.265697329186097e-5,6.27874771004333e-5,0.006284508805500662,1.2101012898478982e-7,1.2101013887244258e-7,0.011415468970312759,5.368871005968568,10
3.516393754035086e-5,3.511466477282219e-5,0.004710286643026841,4.851047805404381e-10,4.851043540864543e-10,0.0010004794955094098,5.620265935436489,11
2.439325028859292e-5,2.4411967864184964e-5,0.00395226260466971,1.2367653335387308e-8,1.2367653392606078e-8,0.004562296947657529,5.794357389344719,12
5.97271297051046e-6,5.9771251363313005e-6,0.0019188097047117823,4.4032748410809835e-9,4.403274763404674e-9,0.0031406839931449326,6.120184620546275,13
8.892571014244236e-5,8.864961556948959e-5,0.007272128640598999,7.314749015257551e-9,7.31474939906512e-9,0.0023211826864528717,5.065935884595384,14
1.2312117140182494e-5,1.2321127576686619e-5,0.002795837335495198,1.7014589819529247e-9,1.7014591242883411e-9,0.0020241931319269213,6.181950274328654,15
9.873538929617296e-6,9.878448958802441e-6,0.0025275708262066203,6.770457327304083e-10,6.770453275403395e-10,0.0016472574676100749,7.127965284303124,16
6.664008918087113e-5,6.655879566438466e-5,0.006498718536790629,7.859438354496833e-9,7.859438625113695e-9,0.004710427726589472,6.161707951788368,17
1.0547399864405333e-5,1.0550486026480576e-5,0.0025984610439531747,1.800064777021383e-11,1.8000054648098008e-11,0.00028971961383206235,7.471058223174105,18
1.4913587547134983e-5,1.4915651083696833e-5,0.003101207563399949,4.705178750993042e-10,4.70517318527507e-10,0.0012759364467562762,6.837842014076246,19
4.967490124126078e-5,4.955775019867678e-5,0.005409594176935207,3.619215584142071e-9,3.6192160127949524e-9,0.0019974685102450707,5.2815406259413145,20
1.2808681544607993e-5,1.2799128205957583e-5,0.0028412933247162157,6.5656984474019e-10,6.565698621890687e-10,0.001214417823405256,6.474454176937731,21
3.8594338473233955e-5,3.8571268489546805e-5,0.0049814775506715515,1.2551691874393683e-8,1.255169263181732e-8,0.0047202970337814065,5.568650155170627,22
1.72628712121186e-5,1.727030765506219e-5,0.0033264474485142346,8.495744353415838e-10,8.495743843739173e-10,0.0015009317468646088,6.769223282306814,23
2.3445105540142184e-5,2.3451878588854e-5,0.0038647533641722287,3.410837710625988e-9,3.4108379271343857e-9,0.0023815714223047735,6.036511896575609,24
8.143116344740814e-6,8.1356660880659e-6,0.0022465139025619808,6.566375049137828e-11,6.566358739094912e-11,0.0003162386064108347,5.697795122646754,25
4.448962313013264e-5,4.445926416885172e-5,0.005374900631849783,3.9803334994490845e-8,3.9803335588362585e-8,0.006071080481925506,5.086016274430405,26
7.650577609848727e-6,7.654432175079052e-6,0.0021759295572696073,1.7950650306896131e-12,1.794730097133368e-12,9.927776340390437e-5,6.830620529125284,27
1.0931392120401932e-5,1.0923845918406058e-5,0.0025934287562043223,1.8365824984954704e-9,1.8365823203576653e-9,0.003626892282056815,8.142761319928187,28
2.027588405330283e-5,2.0253327013311335e-5,0.003421865260408691,1.1176040257333169e-8,1.1176040817581089e-8,0.004343759152625637,5.620660643601584,29
2.5492214980852702e-5,2.5467379531885654e-5,0.00404735509513849,5.5059718903526975e-9,5.505972052129214e-9,0.005288454634911233,7.596018533138379,30
3.053507816848412e-5,3.0545449513749363e-5,0.00443847125633213,8.311750695839308e-10,8.311755746019146e-10,0.0014075554499868304,5.939713604215441,31
3.619358542408893e-5,3.619007757924269e-5,0.004872812649417592,5.434645488902525e-9,5.4346452330917986e-9,0.0038398185602694923,5.897202438263908,32
3.204353817709315e-5,3.201382488914359e-5,0.0042351666209654165,3.686253924651303e-10,3.686257561878541e-10,0.0015062909741487829,7.425924649416052,33
3.3605816614793935e-5,3.3593632131154186e-5,0.004678104666211906,2.507984359171331e-9,2.5079841534778502e-9,0.002114947886111551,6.143110939900525,34
8.71093280077652e-6,8.718357104424771e-6,0.0022672922052135802,1.7941698660988651e-9,1.7941695287087016e-9,0.0029712848661631597,7.258809192362286,35
1.7462963768477212e-5,1.7474000626204867e-5,0.0033653931567496115,9.321815356450204e-11,9.321776866680158e-11,0.0008521990995440376,8.282515272157205,36
1.52692468306621e-5,1.5282357491310135e-5,0.003104355122583356,9.528752158925171e-10,9.528745618916023e-10,0.002302668807612207,7.650843575627979,37
9.234323709124883e-5,9.208538616814208e-5,0.007391299323077832,2.540139592467779e-10,2.5401416015113454e-10,0.0009205020036304745,6.4759069842985735,38
2.3331800444641217e-5,2.331022346252045e-5,0.0038565996173225256,2.9458904043911348e-9,2.9458903579330717e-9,0.003757912242935646,7.17729708213033,39
2.940576534173874e-5,2.9386087751460174e-5,0.004379129090240768,4.074790653103822e-9,4.074790368168715e-9,0.003523046941648289,6.511781925634184,40
2.796976096501179e-5,2.8003779832342682e-5,0.004216198815218175,7.337270276622969e-10,7.337270180671077e-10,0.0012774754599576,5.6864621723603275,41
3.800190758464686e-5,3.797315746463404e-5,0.004833372345395786,2.4923146171455845e-8,2.4923146375448483e-8,0.0068828736793413725,5.963299606104527,42
1.6346951531854814e-5,1.6334597741289767e-5,0.002916366882104464,2.838068012056479e-10,2.838074874836002e-10,0.0007473426103015157,6.073649703062106,43
2.8509004092328907e-5,2.850406504129842e-5,0.0042901548645178,3.6542250864176197e-9,3.654225278395943e-9,0.003893153632766655,6.92983268958729,44
2.6672908523784875e-5,2.668617131859098e-5,0.004057115835672596,7.202651320422498e-10,7.202650617012458e-10,0.001113083189220987,5.533052851984365,45
6.769721209571236e-5,6.779395950125161e-5,0.006605794847119201,1.7953139765569583e-8,1.7953139546289694e-8,0.005979730518513193,5.796723840389783,46
0.00018425075950370478,0.0001842082090003059,0.010985407835169545,2.0551385241220164e-9,2.0551387498190274e-9,0.0010819621367677001,4.9530452850070725,47
2.914949616674265e-5,2.9175578061741565e-5,0.004329518794507497,3.344991723302479e-10,3.3449957266173567e-10,0.0011426394717446442,7.332527075659781,48
0.00017126936178453187,0.00017145097064411995,0.010477078547781548,8.575329789672166e-7,8.575334690763634e-7,0.020330949594286274,4.581732951050517,49
9.468464964864352e-6,9.46394431796463e-6,0.0024598225666021024,8.007996516708269e-10,8.00799366691674e-10,0.0014205352810314764,6.489454088039481,50
6.238551996713482e-6,6.238327477529305e-6,0.0020172831374522583,2.2622507601968543e-11,2.262202274040426e-11,0.00024082451037443775,6.6088932663718944,51
1.6711414512965147e-5,1.6694909566831355e-5,0.003235088381272514,1.0835074879429345e-12,1.0837588784278336e-12,6.508817767780783e-5,6.600774790867266,52
2.7672806628966253e-5,2.7708026778491303e-5,0.004125384411886664,1.604331822725486e-10,1.6043270707520672e-10,0.0006836385914610332,6.346893387704208,53
1.2834236073587178e-5,1.2834413988263571e-5,0.002856257559142386,1.9733484813658914e-9,1.9733479223783563e-9,0.0032680689002759777,7.026699357248035,54
2.860603374745022e-5,2.8643612098858432e-5,0.0042099819998298385,6.241905254900917e-9,6.241905570647695e-9,0.0039113596980087095,6.433822394409019,55
0.0001665356758755292,0.00016655770807012023,0.010462315402427208,1.3434430032029186e-8,1.343443078922243e-8,0.0032403965157836723,4.967600661957449,56
8.820142777734866e-6,8.822938094921641e-6,0.0023762430768346134,2.3453077590009064e-10,2.345307913211725e-10,0.000848119233857858,6.572486130174889,57
3.447461327209774e-5,3.450145242789157e-5,0.0046451911547393246,4.691342793724368e-9,4.691343275625129e-9,0.00267580144574886,5.573568717400243,58
0.0003663477818341957,0.0003678435518157708,0.01529046719932243,8.250029904953091e-7,8.250034438543391e-7,0.01727777605317904,4.414085839022393,59
2.5029125275122744e-5,2.5008247952316206e-5,0.003976012859486138,5.498808711272313e-9,5.4988085249182885e-9,0.003452128497244189,6.31784281048028,60
1.629327189305121e-5,1.630691267509609e-5,0.0030893669659045843,4.4681580906990453e-10,4.4681602559693684e-10,0.001975634188717379,8.504826710151454,61
8.787948428328296e-6,8.786314767152147e-6,0.0023636024878927447,1.5967063332996594e-10,1.596708642938278e-10,0.0007352438976440112,6.8672259802756725,62
3.733905484743942e-5,3.729725546712737e-5,0.004871765894484517,4.95663646862414e-11,4.9566725930546814e-11,0.0005090801186398153,7.418533065684082,63
1.4588115255702214e-5,1.4574577320460619e-5,0.003018429685988824,1.7150043213513886e-8,1.7150043272602905e-8,0.004553656314081778,5.536873182788803,64
0.00024057607391902836,0.00024061312694178758,0.012236338337985595,3.140949282986311e-8,3.1409494049482135e-8,0.0044672796581544105,4.864235739447711,65
0.00015904463169171183,0.00015921538647790262,0.010173628378537195,5.609189866558517e-8,5.609190113168433e-8,0.012605476929245185,6.293896486457962,66
7.842379463685675e-6,7.841586074823905e-6,0.0022656320812839983,2.488973059112839e-10,2.4889749930076424e-10,0.0009503330130691268,7.061180531218492,67
0.00012818470129182387,0.0001275321355141579,0.008709847271062658,3.4905354734046396e-8,3.490535522711444e-8,0.004975970388411355,4.867857922898719,68
